Ref,Val,Package,PosX,PosY,Rot,Side
"R13","4.7k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",17.450000,5.000000,180.000000,bottom
"R23","4.7k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",12.450000,5.000000,0.000000,bottom
